username,timestamp,url,result
deva,2025-05-02T22:03:19.890991,google.com,Legitimate
deva,2025-05-02T22:03:38.770665,instagram.com,Legitimate
deva,2025-05-02T22:03:54.902293,dkjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjadnlkandcakldnlanelknflkaenclnaekfnaklcklanklenfkkncaldclkdnc.com,Phishing
deva,2025-05-02T22:33:59.884147,devedevahjvcebeh.con,Phishing
deva,2025-05-02T22:34:12.065954,rnwkjbjkewr,Legitimate
king,2025-05-02T23:04:51.139856,google.com,Legitimate
king,2025-05-02T23:04:54.214916,google.com,Legitimate
king,2025-05-02T23:04:55.673756,google.com,Legitimate
king,2025-05-02T23:04:57.163867,google.com,Legitimate
king,2025-05-02T23:04:58.605206,google.com,Legitimate
king,2025-05-02T23:12:12.538033,goole.com,Legitimate
king,2025-05-02T23:12:20.743079,"gool,ge.com",Legitimate
king,2025-05-02T23:12:24.794854,"gool,ge.com",Legitimate
king,2025-05-02T23:12:26.319375,"gool,ge.com",Legitimate
king,2025-05-02T23:12:27.948604,"gool,ge.com",Legitimate
king,2025-05-02T23:25:54.872503,google.com,Legitimate
king,2025-05-02T23:26:06.828350,instagram.in,Legitimate
king,2025-05-02T23:26:23.541544,jddnbckjbawj.co,Legitimate
king,2025-05-02T23:26:37.474080,dfajvnaehflbvhjrvbeajvkbvr.co,Phishing
mari,2025-05-02T23:27:32.127050,mentalmari@loosu.com,Legitimate
king,2025-05-03T10:27:38.603948,google.com,Legitimate
king,2025-05-03T10:27:49.286817,7q3q42786312478968.co,Phishing
king,2025-05-06T08:13:03.566565,google.com,Legitimate
king,2025-05-06T08:13:17.326669,123145456dnjad.com,Phishing
king,2025-05-06T10:35:22.421327,google.com,Legitimate
king,2025-05-06T10:36:10.621153,webphisinghackerorganisation.in,Phishing
king,2025-05-10T21:20:44.991112,google.com,Legitimate
king,2025-05-10T21:21:06.597841,iiiiiiiiiiiiiiiiiiiiiioooooooooooooodalnjnx123.com,Phishing
king,2025-05-10T21:23:04.278210,google.com,Legitimate
king,2025-05-12T13:22:47.548210,google.com,Legitimate
king,2025-05-12T13:23:07.332806,webphisinghacker.com,Phishing
king,2025-05-12T13:34:05.856041,google.com,Legitimate
king,2025-05-12T13:43:31.671074,webphisingdetection.com,Phishing
king,2025-05-21T10:32:03.082278,google.com,Legitimate
king,2025-05-21T10:32:23.087620,subashhacker.com,Legitimate
king,2025-05-21T10:32:59.020360,subashwebphisinghacker.com,Phishing
NarutoClan,2025-05-21T10:44:26.401535,google.com,Legitimate
NarutoClan,2025-05-21T10:45:26.243558,exampleSubashhackerphising.com,Phishing
Boss,2025-05-22T21:47:47.303565,https://www.google.com,Legitimate
Boss,2025-05-22T21:48:20.226248,webphisinghacker1234.com,Phishing
king,2025-05-28T19:28:36.740779,google.com,Legitimate
king,2025-05-29T12:24:29.466215,GreenhathackerWebphishing.com,Phishing
king,2025-05-29T12:26:07.071233,GreenhathackerWebphishing.com,Phishing
